row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_f7fefc533456dcc0,chest_odds,chest_odds,collectible_chest,full_collectible_green,Collectible chest full_collectible green,green,,,,,,,,,drop_probability,24.9,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_0585e7d6b1adff74,chest_odds,chest_odds,collectible_chest,full_collectible_blue,Collectible chest full_collectible blue,blue,,,,,,,,,drop_probability,24.9,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_f89a45d2c0a399b4,chest_odds,chest_odds,collectible_chest,full_collectible_purple,Collectible chest full_collectible purple,purple,,,,,,,,,drop_probability,12.5,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_c0b5b80abee35c60,chest_odds,chest_odds,collectible_chest,full_collectible_yellow,Collectible chest full_collectible yellow,yellow,,,,,,,,,drop_probability,1.5,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_9a09ec46d26c339b,chest_odds,chest_odds,collectible_chest,full_collectible_red,Collectible chest full_collectible red,red,,,,,,,,,drop_probability,0.0,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_0387221c0053236a,chest_odds,chest_odds,collectible_chest,collectible_shards_green,Collectible chest collectible_shards green,green,,,,,,,,,drop_probability,15.0,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_af52c28ae387568b,chest_odds,chest_odds,collectible_chest,collectible_shards_blue,Collectible chest collectible_shards blue,blue,,,,,,,,,drop_probability,12.0,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_c07bc6245956bf65,chest_odds,chest_odds,collectible_chest,collectible_shards_purple,Collectible chest collectible_shards purple,purple,,,,,,,,,drop_probability,8.0,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_f9f0f5f6d4ae2498,chest_odds,chest_odds,collectible_chest,collectible_shards_yellow,Collectible chest collectible_shards yellow,yellow,,,,,,,,,drop_probability,1.0,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
src_9afaa2456626b88e,chest_odds,chest_odds,collectible_chest,collectible_shards_red,Collectible chest collectible_shards red,red,,,,,,,,,drop_probability,0.0,percent,,,collectible_chest,,exact,exact,visual_table_verified,indirect,,knowledge_only,True,False,,Collectible_Chest_Odds_2024-11-28_result.png,1,Collectible Chest Odds,Collectible_Chest_Odds_2024-11-28_result.png,{}
