row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_b20ca51b05867bf6,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_01,NamePending red crit-rate collectible 01,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_e2d8c0402387f444,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_02,NamePending red crit-rate collectible 02,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_1b502109dcf0ee1f,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_03,NamePending red crit-rate collectible 03,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_9f2b9d4d725241d4,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_04,NamePending red crit-rate collectible 04,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_3d5ede3fe0f42f9f,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_05,NamePending red crit-rate collectible 05,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_a0b106d4c5222a24,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_06,NamePending red crit-rate collectible 06,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_c7a68bcc62fac9d5,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_07,NamePending red crit-rate collectible 07,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_36b258cda742f9cc,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_08,NamePending red crit-rate collectible 08,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_c9b3642218e14cd9,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_09,NamePending red crit-rate collectible 09,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_d199ab047f0054a9,collectible_effect,collectibles,crit_rate,collectible_cr_red_icon_10,NamePending red crit-rate collectible 10,red,,,,,,,,,crit_rate,10,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_fa1f0947f875e001,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_01,NamePending yellow crit-rate collectible 01,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_b0cf33bf4e91071c,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_02,NamePending yellow crit-rate collectible 02,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_52a0913739e5ca66,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_03,NamePending yellow crit-rate collectible 03,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_59e4ccdf2145b25e,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_04,NamePending yellow crit-rate collectible 04,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_9fdff9de1c186918,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_05,NamePending yellow crit-rate collectible 05,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_b1bb915742cba026,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_06,NamePending yellow crit-rate collectible 06,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_3f6339166b1d40bd,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_07,NamePending yellow crit-rate collectible 07,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_92c2f2f3650a92c9,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_08,NamePending yellow crit-rate collectible 08,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_3c41ccd85dd593ee,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_09,NamePending yellow crit-rate collectible 09,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_3f20a3d6b1c5984a,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_10,NamePending yellow crit-rate collectible 10,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
src_f669fcd0d49a5b63,collectible_effect,collectibles,crit_rate,collectible_cr_yellow_icon_11,NamePending yellow crit-rate collectible 11,yellow,,,,,,,,,crit_rate,5,percent,crit_rate,,global,,exact,exact,embedded_pdf_table_verified,direct,,needs_review,False,True,Exact effect; collectible name/star threshold is icon-only and pending.,source_database_map.pdf,26,Icon-only Collectible Crit Rate,,{}
