row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_ec58f1eaad3cfffb,collectible_set,collectibles,set_bonus,erudite_heirloom,Erudite Heirloom,,,,,,,,,,collectible_set_bonus,,,,,SS Weapon / Starforged Havoc,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,218,Collectible Set Associations,,"{""effect_summary"": ""thrust damage; Energy Overload stack damage; Disordered Death/Void Fissure damage""}"
src_e0b64fd2c853661e,collectible_set,collectibles,set_bonus,otherworld_treasure,Otherworld Treasure,,,,,,,,,,collectible_set_bonus,,,,,SS Necklace / shield,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,218,Collectible Set Associations,,"{""effect_summary"": ""Omnicombat shield requirement; Clarity skill damage; Reverse Scale skill damage""}"
src_d49ca41e620fe6ef,collectible_set,collectibles,set_bonus,meaning_of_life,Meaning of Life,,,,,,,,,,collectible_set_bonus,,,,,SS Gloves / Fury / Weaken,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,218,Collectible Set Associations,,"{""effect_summary"": ""Fury skill damage; damage to Weakened; Stealth Attack crit damage""}"
src_6383eb4b6c2fab4c,collectible_set,collectibles,set_bonus,interdimension_movement,Interdimension Movement,,,,,,,,,,collectible_set_bonus,,,,,SS Armor / energy level,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,218,Collectible Set Associations,,"{""effect_summary"": ""Cabalistic shield boost; Suppression skill damage; Eternal Recharge multiplier""}"
src_fd8d511ee81d440e,collectible_set,collectibles,set_bonus,close_to_creation,Close to Creation,,,,,,,,,,collectible_set_bonus,,,,,Twinborn Durian/Caltrops,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,219,Collectible Set Associations,,"{""effect_summary"": ""spike damage; pair damage; shield damage""}"
src_a6c02818dda160f5,collectible_set,collectibles,set_bonus,open_void_gate,Open Void Gate,,,,,,,,,,collectible_set_bonus,,,,,Twinborn Soccer/Quantum Ball,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,219,Collectible Set Associations,,"{""effect_summary"": ""duration; shield damage; skill damage; crit damage""}"
src_11c40e598d754189,collectible_set,collectibles,set_bonus,transgalactic_tentacle,Transgalactic Tentacle,,,,,,,,,,collectible_set_bonus,,,,,Twinborn Drone/Destroyer,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,219,Collectible Set Associations,,"{""effect_summary"": ""missile count; single-shot damage""}"
src_c5dcc59ded76fbc3,collectible_set,collectibles,set_bonus,impression_idols,Impression Idols,,,,,,,,,,collectible_set_bonus,,,,,Twinborn Forcefield/Force Barrier,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,219,Collectible Set Associations,,"{""effect_summary"": ""forcefield damage; vulnerability; crit damage; skill damage""}"
src_7c8d30498b9408f1,collectible_set,collectibles,set_bonus,multiverse_perspective,Multiverse Perspective,,,,,,,,,,collectible_set_bonus,,,,,Twinborn Drill/Frostfire,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,219,Collectible Set Associations,,"{""effect_summary"": ""pair damage; Fire Bomb damage""}"
src_38c23d50872a4c8c,collectible_set,collectibles,set_bonus,hyperrift_tech,Hyperrift Tech,,,,,,,,,,collectible_set_bonus,,,,,Twinborn RPG/Sharkmaw,,inferred,high,embedded_pdf_table_verified,conditional,,needs_review,False,True,Association/effect family is source-backed; exact numeric thresholds must come from the raw chart.,source_database_map.pdf,219,Collectible Set Associations,,"{""effect_summary"": ""Sharkmaw damage; Cluster Arrows; lacerated damage""}"
