row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_956444ccc5e38729,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y1,,,,Y1,5,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_f3cdc7332435cb5e,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y2,,,,Y2,5,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_e01bb9805417465a,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y3,,,,Y3,10,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_195016b39426574a,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y4,,,,Y4,20,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_f5a2e03820c9f63a,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y5,,,,Y5,30,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_c626b335e0cbb3af,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening R1,,,,R1,40,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_5cfcb995678da603,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening R2,,,,R2,60,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_e0662535cc048d4c,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening R3,,,,R3,60,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_1512fca723c2b94e,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening R4,,,,R4,60,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_1a32c9eff0aa1935,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening R5,,,,R5,60,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
