row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_899910a2f1f58680,crit_stat,survivors,global_star_bonus,raphael,Raphael 5-star global crit rate,,,5,,,,,,,crit_rate,8,percent,crit_rate,,all_survivors,,exact,exact,embedded_pdf_table_verified,direct,1.0,profile_dependent,False,False,,source_database_map.pdf,23,TMNT Survivor Global Crit Rate,,{}
src_e16317e534b78c0f,crit_stat,survivors,global_star_bonus,leonardo,Leonardo 5-star global crit rate,,,5,,,,,,,crit_rate,8,percent,crit_rate,,all_survivors,,exact,exact,embedded_pdf_table_verified,direct,1.0,profile_dependent,False,False,,source_database_map.pdf,23,TMNT Survivor Global Crit Rate,,{}
src_29e18b09f408dbc9,crit_stat,survivors,global_star_bonus,april,April 5-star global crit rate,,,5,,,,,,,crit_rate,8,percent,crit_rate,,all_survivors,,exact,exact,embedded_pdf_table_verified,direct,1.0,profile_dependent,False,False,,source_database_map.pdf,23,TMNT Survivor Global Crit Rate,,{}
src_46671a2d8d862fba,crit_stat,survivors,global_star_bonus,michelangelo,Michelangelo 5-star global crit rate,,,5,,,,,,,crit_rate,8,percent,crit_rate,,all_survivors,,exact,exact,embedded_pdf_table_verified,direct,1.0,profile_dependent,False,False,,source_database_map.pdf,23,TMNT Survivor Global Crit Rate,,{}
src_c484eb912932d5a4,crit_stat,survivors,global_star_bonus,donatello,Donatello 5-star global crit rate,,,5,,,,,,,crit_rate,8,percent,crit_rate,,all_survivors,,exact,exact,embedded_pdf_table_verified,direct,1.0,profile_dependent,False,False,,source_database_map.pdf,23,TMNT Survivor Global Crit Rate,,{}
src_c18624d35edfafe9,crit_stat,survivors,global_star_bonus,splinter,Splinter 5-star global crit rate,,,5,,,,,,,crit_rate,8,percent,crit_rate,,all_survivors,,exact,exact,embedded_pdf_table_verified,direct,1.0,profile_dependent,False,False,,source_database_map.pdf,23,TMNT Survivor Global Crit Rate,,{}
src_571364d81805928d,crit_stat,gear,crit_sources,eternal_gloves,Eternal Gloves excellent crit,,,,,,,,,equipped; excellent rarity,crit_rate,10,percent,crit_rate,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,23,Crit Rate and Crit Damage Sources,,{}
src_a5adc40f54e7215d,crit_stat,gear,crit_sources,eternal_gloves,Eternal Gloves legendary crit rate,,,,,,,,,equipped; legendary rarity,crit_rate,10,percent,crit_rate,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,23,Crit Rate and Crit Damage Sources,,{}
src_00c2c2aaf22067b9,crit_stat,gear,crit_sources,eternal_gloves,Eternal Gloves legendary crit damage,,,,,,,,,equipped; legendary rarity,crit_damage,100,percent,crit_damage,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,23,Crit Rate and Crit Damage Sources,,{}
src_e51bdb24df0a06ed,crit_stat,gear,crit_sources,leather_gloves,Leather Gloves crit rate,,,,,,,,,equipped,crit_rate,5,percent,crit_rate,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,24,Crit Rate and Crit Damage Sources,,{}
