row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_80f07b64c0721a7c,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y1,,,,Y1,,,,,,player_attack_flat,900,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_332b92c5c5282c07,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y2,,,,Y2,,,,,,player_attack_flat,1800,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_ec6c216fca1726c6,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y3,,,,Y3,,,,,,player_attack_flat,2700,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_77a09db66c6858a9,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y4,,,,Y4,,,,,,player_attack_flat,3600,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_3bc634c6575c641f,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y5,,,,Y5,,,,,,player_attack_flat,4800,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_225773430e8c6359,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK R1,,,,R1,,,,,,player_attack_flat,6000,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_f97d81895634758b,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK R2,,,,R2,,,,,,player_attack_flat,7500,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_4a0faeef030984a7,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK R3,,,,R3,,,,,,player_attack_flat,9000,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,59,Pet Affection Player ATK,,{}
src_5fdadb8e8062e6aa,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK R4,,,,R4,,,,,,player_attack_flat,11300,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,59,Pet Affection Player ATK,,{}
src_c3f08c8c75b133e4,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK R5,,,,R5,,,,,,player_attack_flat,15000,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,59,Pet Affection Player ATK,,{}
src_e1df26c3c7439807,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Base,,,,Base,,,,,,player_attack_flat,300,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
