row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_41c36525b4a89d07,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 100 Elite medals to 82 Timed Muster medals,,,,,100,elite_medal,82,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_c2d384d0f173817e,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 99 Elite medals to 80 Timed Muster medals,,,,,99,elite_medal,80,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_86e484df2ea39c7e,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 98 Elite medals to 79 Timed Muster medals,,,,,98,elite_medal,79,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_2e9d95f21b6fed3f,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 97 Elite medals to 78 Timed Muster medals,,,,,97,elite_medal,78,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_4027da858a0ee0ea,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 96 Elite medals to 77 Timed Muster medals,,,,,96,elite_medal,77,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_552b0a80963b8546,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 95 Elite medals to 76 Timed Muster medals,,,,,95,elite_medal,76,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_7051ec16328177a9,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 94 Elite medals to 76 Timed Muster medals,,,,,94,elite_medal,76,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_f0303af4e81f6376,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 93 Elite medals to 75 Timed Muster medals,,,,,93,elite_medal,75,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_52ac1c67c2128c0d,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 92 Elite medals to 74 Timed Muster medals,,,,,92,elite_medal,74,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
src_709114568b3f455c,exchange_path,conversions,timed_muster,timed_muster_medal,Convert 91 Elite medals to 73 Timed Muster medals,,,,,91,elite_medal,73,,,,,,,,timed_muster_medal,,exact,exact,visual_table_verified,utility,,profile_dependent,True,False,,Timed_Muster_Medal_Conversion_2024-12-12_result.png,1,Timed Muster Medal Conversion,Timed_Muster_Medal_Conversion_2024-12-12_result.png,{}
