row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_4ca788067f934bb2,item_value,resources,selectors,selectors_s_choice,Approximate gem value: S Choice,,,,,,,,,,gem_equivalent,6000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_f865f736bc273998,item_value,resources,selectors,selectors_eternal_selector,Approximate gem value: Eternal Selector,,,,,,,,,,gem_equivalent,4000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_c4bfec92395876c6,item_value,resources,selectors,selectors_void_selector,Approximate gem value: Void Selector,,,,,,,,,,gem_equivalent,4500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_f8229581db1b082c,item_value,resources,selectors,selectors_chaos_selector,Approximate gem value: Chaos Selector,,,,,,,,,,gem_equivalent,3500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6b93c51621ba9e57,item_value,resources,selectors,selectors_random_s,Approximate gem value: Random S,,,,,,,,,,gem_equivalent,2500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_d75440ddb31387aa,item_value,resources,selectors,selectors_excellent_selector,Approximate gem value: Excellent Selector,,,,,,,,,,gem_equivalent,200,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_dae661cfe69868a0,item_value,resources,cores,cores_relic_core_choice,Approximate gem value: Relic Core Choice,,,,,,,,,,gem_equivalent,15000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_be2c386c11b81c5e,item_value,resources,cores,cores_relic_core,Approximate gem value: Relic Core,,,,,,,,,,gem_equivalent,15000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_f4b87a8469126825,item_value,resources,cores,cores_10x_eternal,Approximate gem value: 10x Eternal,,,,,,,,,,gem_equivalent,3000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_a55a13af31b93808,item_value,resources,cores,cores_10x_void,Approximate gem value: 10x Void,,,,,,,,,,gem_equivalent,3000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_7778cbe77314ee79,item_value,resources,cores,cores_10x_chaos,Approximate gem value: 10x Chaos,,,,,,,,,,gem_equivalent,1500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
