row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_466895a783e0bbc1,item,resources,selectors,selectors_s_choice,S Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6c5afd1f054d3e52,item,resources,selectors,selectors_eternal_selector,Eternal Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_847fbd06f728ec5f,item,resources,selectors,selectors_void_selector,Void Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6c271cb507e18f26,item,resources,selectors,selectors_chaos_selector,Chaos Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_4df160ab0ba733db,item,resources,selectors,selectors_random_s,Random S,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_258c2e92d114f996,item,resources,selectors,selectors_excellent_selector,Excellent Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_428c8078b77fe549,item,resources,cores,cores_relic_core_choice,Relic Core Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6c2dd88e9b68dc3f,item,resources,cores,cores_relic_core,Relic Core,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_e84620fc71bece71,item,resources,cores,cores_10x_eternal,10x Eternal,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_8994b12a5ca7a365,item,resources,cores,cores_10x_void,10x Void,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_32adf8e69997fec9,item,resources,cores,cores_10x_chaos,10x Chaos,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_c97edfb07705cdf3,item,resources,tech_parts,tech_parts_resonance_chip_choice,Resonance Chip Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_d5d27fb6da377121,item,resources,tech_parts,tech_parts_resonance_chip,Resonance Chip,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_939e2bfd971bcc7f,item,resources,tech_parts,tech_parts_epic_choice,Epic Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_f5adf93b926147df,item,resources,tech_parts,tech_parts_random_epic_part,Random Epic Part,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_7bc681d2f54f1d15,item,resources,collectibles,collectibles_legendary_selector,Legendary Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_2ef8415d7308b1ca,item,resources,collectibles,collectibles_epic_selector,Epic Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_51236be8d2c6e366,item,resources,collectibles,collectibles_random_epic,Random Epic,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_75d26bded3fc8537,item,resources,collectibles,collectibles_full_event_collectible_6x,Full Event Collectible (6x),,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_2d404dc0b8612f50,item,resources,collectibles,collectibles_excellent_selector,Excellent Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_81d8fbfb3bb049bc,item,resources,collectibles,collectibles_random_excellent,Random Excellent,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_611b883274b04c54,item,resources,pets,pets_pet_crystal_choice,Pet Crystal Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_2d10f853ad66955f,item,resources,pets,pets_awakening_crystal,Awakening Crystal,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_8b96fb21ca509ea6,item,resources,pets,pets_epic_pet_selector,Epic Pet Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_fc7b8db2ccffb5af,item,resources,pets,pets_random_epic_pet,Random Epic Pet,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_ae9131f9eeb69161,item,resources,pets,pets_excellent_pet_selector,Excellent Pet Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_1f632db1a9ed0781,item,resources,pets,pets_choice_epic_pet_toy,Choice Epic Pet Toy,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_d34b3510cb74e613,item,resources,pets,pets_random_epic_pet_toy,Random Epic Pet Toy,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_7f25009123338dc4,item,resources,survivors,survivors_awakening_core_choice,Awakening Core Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_4222954cbc644ea5,item,resources,survivors,survivors_awakening_core,Awakening Core,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
