row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_e47a8b3351b6697a,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y1,Y1,,,,20,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y1,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_a2599489d8ac1c60,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y2,Y2,,,,25,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y2,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_20ae4f8608a81504,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y3,Y3,,,,40,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y3,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_af3f9ac4eec6aff2,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y4,Y4,,,,50,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y4,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_2d3947be1c71691c,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade R1,R1,,,,75,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_r1,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_36ab8bf74277bcb7,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade R2,R2,,,,100,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_r2,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_a28d84db0083f8bc,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade R3,R3,,,,120,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_r3,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_d6cbf7837b91fcad,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade R4,R4,,,,160,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_r4,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_e24f2bcc1e2a7008,mount_upgrade_cost,mounts,upgrade,hoverboard,Hoverboard upgrade Y1,Y1,,,,10,hoverboard_shard,,,,,,,,,,upgrade_hoverboard_y1,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,237,Mount Upgrade Costs,,{}
src_682cb41a797392a2,mount_upgrade_cost,mounts,upgrade,hoverboard,Hoverboard upgrade Y2,Y2,,,,15,hoverboard_shard,,,,,,,,,,upgrade_hoverboard_y2,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,237,Mount Upgrade Costs,,{}
