row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_002d91ec761ac8a2,mount_unlock_cost,mounts,unlock,electric_scooter,Unlock Electric Scooter,,,,,30,electric_scooter_shard,,,,,,,,,,unlock_electric_scooter,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,234,Mount Unlock Costs,,{}
src_ab06206de477d183,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter Base sync rate,Base,,,,,,,,,attack_sync_rate,0.2,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,234,Mount Base Sync Rates,,{}
src_69e171a9cbe5113a,mount_unlock_cost,mounts,unlock,hoverboard,Unlock Hoverboard,,,,,50,hoverboard_shard,,,,,,,,,,unlock_hoverboard,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,234,Mount Unlock Costs,,{}
src_089a5961a08c0131,mount_sync_rate,mounts,sync,hoverboard,Hoverboard Base sync rate,Base,,,,,,,,,attack_sync_rate,0.3,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,234,Mount Base Sync Rates,,{}
src_24c7a070c990242c,mount_unlock_cost,mounts,unlock,doomsteed,Unlock Doomsteed,,,,,80,doomsteed_shard,,,,,,,,,,unlock_doomsteed,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,234,Mount Unlock Costs,,{}
src_af23cf488f1cb2cc,mount_sync_rate,mounts,sync,doomsteed,Doomsteed Base sync rate,Base,,,,,,,,,attack_sync_rate,0.4,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,234,Mount Base Sync Rates,,{}
src_e47a8b3351b6697a,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y1,Y1,,,,20,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y1,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_e922639a9902d8de,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter Y1 sync rate,Y1,,,,,,,,,attack_sync_rate,0.22,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,238,Mount Sync Rate Table,,{}
src_a2599489d8ac1c60,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y2,Y2,,,,25,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y2,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_8a8e5e3a205fa562,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter Y2 sync rate,Y2,,,,,,,,,attack_sync_rate,0.24,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,238,Mount Sync Rate Table,,{}
src_20ae4f8608a81504,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y3,Y3,,,,40,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y3,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_03ad1cbc8a8e5afe,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter Y3 sync rate,Y3,,,,,,,,,attack_sync_rate,0.28,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,238,Mount Sync Rate Table,,{}
src_af3f9ac4eec6aff2,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade Y4,Y4,,,,50,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_y4,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_f3b0db6b13735a43,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter Y4 sync rate,Y4,,,,,,,,,attack_sync_rate,0.32,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,238,Mount Sync Rate Table,,{}
src_2d3947be1c71691c,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade R1,R1,,,,75,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_r1,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_2592fdcd9eabd3b6,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter R1 sync rate,R1,,,,,,,,,attack_sync_rate,0.38,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,238,Mount Sync Rate Table,,{}
src_36ab8bf74277bcb7,mount_upgrade_cost,mounts,upgrade,electric_scooter,Electric Scooter upgrade R2,R2,,,,100,electric_scooter_shard,,,,,,,,,,upgrade_electric_scooter_r2,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,236,Mount Upgrade Costs,,{}
src_dd74d0073156588a,mount_sync_rate,mounts,sync,electric_scooter,Electric Scooter R2 sync rate,R2,,,,,,,,,attack_sync_rate,0.44,ratio,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,238,Mount Sync Rate Table,,{}
