row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_e2f6e2fdf381b0de,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y1,,,,Y1,,,20,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_4925aada2f3d684f,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y2,,,,Y2,,,30,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_c32e473ebab4830f,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y3,,,,Y3,,,40,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_80f7724503c91ae0,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y4,,,,Y4,,,50,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_f0ca4626228ea0b9,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y5,,,,Y5,,,60,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_257904b68da9b77a,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap R1,,,,R1,,,70,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_7706611c231a76c5,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap R2,,,,R2,,,80,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_2470818b0ebe2b28,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap R3,,,,R3,,,90,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,59,Pet Affection Caps,,{}
src_7799762d3b0e22e5,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap R4,,,,R4,,,105,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,59,Pet Affection Caps,,{}
src_ccae5f89be0f29a7,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap R5,,,,R5,,,130,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,59,Pet Affection Caps,,{}
src_80ed6fe2b4921f3a,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Base,,,,Base,,,10,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,58,Pet Affection Caps,,{}
