row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_e7f6050c8a2fcce4,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y1,,,,Y1,,,3,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_1ac8c9e2036262b5,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y2,,,,Y2,,,3,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_4cd29a439ffacb6e,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y3,,,,Y3,,,5,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_37801b7bc3ce47dd,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y4,,,,Y4,,,5,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_ff74fa35dbedd2a3,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y5,,,,Y5,,,7,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_03eefd3a3c7abf4d,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit R1,,,,R1,,,7,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_b76c6449e220e029,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit R2,,,,R2,,,9,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_a2788a8260e9cae6,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit R3,,,,R3,,,9,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_965dbf1a32071e57,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit R4,,,,R4,,,9,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_ea92995db74cec6b,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit R5,,,,R5,,,15,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
