row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_114b8ee46ff1dd0d,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge normal to good: same_pet_normal,normal,,,,3,same_pet_normal,1,,,rarity_upgrade,,,,,good,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_41cef3f8150077bb,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge good to better: same_pet_good,good,,,,3,same_pet_good,1,,,rarity_upgrade,,,,,better,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_1b7e627d0ba7a735,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge better to excellent: same_pet_better,better,,,,3,same_pet_better,1,,,rarity_upgrade,,,,,excellent,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_3cdda812d94b52dd,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge excellent to excellent+1: target_excellent,excellent,,,,1,target_excellent,1,,,rarity_upgrade,,,,,excellent+1,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_25b8bac21cd4eeb1,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge excellent to excellent+1: any_excellent_pet,excellent,,,,1,any_excellent_pet,1,,,rarity_upgrade,,,,,excellent+1,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_ae2f49db4626eee5,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge excellent+1 to excellent+2: target_excellent+1,excellent+1,,,,1,target_excellent+1,1,,,rarity_upgrade,,,,,excellent+2,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_5ec2463748e1a5d3,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge excellent+1 to excellent+2: any_excellent_pet,excellent+1,,,,2,any_excellent_pet,1,,,rarity_upgrade,,,,,excellent+2,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_633d96f8134518f5,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge excellent+2 to epic: same_pet_excellent+2,excellent+2,,,,2,same_pet_excellent+2,1,,,rarity_upgrade,,,,,epic,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_3f3e6762a2237aa7,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge epic to epic+1: target_epic,epic,,,,1,target_epic,1,,,rarity_upgrade,,,,,epic+1,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
src_11ef301f5db69d52,pet_merge_rule,pet_merging,rarity_merge,pet_rarity_upgrade,Pet merge epic to epic+1: any_epic_pet,epic,,,,1,any_epic_pet,1,,,rarity_upgrade,,,,,epic+1,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Merging_-_Pets_2024-11-28_result.png,1,Pet Merge Recipes,Merging_-_Pets_2024-11-28_result.png,{}
