row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_956444ccc5e38729,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y1,,,,Y1,5,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_e7f6050c8a2fcce4,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y1,,,,Y1,,,3,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_e2f6e2fdf381b0de,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y1,,,,Y1,,,20,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_80f07b64c0721a7c,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y1,,,,Y1,,,,,,player_attack_flat,900,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_f3cdc7332435cb5e,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y2,,,,Y2,5,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_1ac8c9e2036262b5,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y2,,,,Y2,,,3,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_4925aada2f3d684f,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y2,,,,Y2,,,30,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_332b92c5c5282c07,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y2,,,,Y2,,,,,,player_attack_flat,1800,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_e01bb9805417465a,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y3,,,,Y3,10,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_4cd29a439ffacb6e,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y3,,,,Y3,,,5,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_c32e473ebab4830f,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y3,,,,Y3,,,40,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_ec6c216fca1726c6,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y3,,,,Y3,,,,,,player_attack_flat,2700,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_195016b39426574a,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y4,,,,Y4,20,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_37801b7bc3ce47dd,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y4,,,,Y4,,,5,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
src_80f7724503c91ae0,pet_affection_cap,pets,affection,pet_affection_cap,Pet affection cap Y4,,,,Y4,,,50,,,,,,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,Progression capacity; does not directly represent DPS.,source_database_map.pdf,58,Pet Affection Caps,,{}
src_77a09db66c6858a9,pet_affection_effect,pets,affection,pet_affection_atk,Pet affection player ATK Y4,,,,Y4,,,,,,player_attack_flat,3600,flat,attack,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Affection Player ATK,,{}
src_f5a2e03820c9f63a,pet_awakening_cost,pets,awakening,pet_awakening,Pet awakening Y5,,,,Y5,30,awakening_crystal,,,,,,,,,,pet_awakening,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Costs,,{}
src_ff74fa35dbedd2a3,pet_deploy_skill_limit,pets,awakening,pet_deploy_skill_limit,Pet deploy skill limit Y5,,,,Y5,,,7,,,,,,,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,58,Pet Awakening Deploy Skills,,{}
