row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
fact_001839d45b6c18d12a550aee,raw_evidence,gear,,,5	1	1	1	38	2	217	1132	33	11	96.127159	black,,,,,,,,,,,,,,,,,placeholder,low,tesseract_tsv,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Weapons_V2_2_2024-11-28_result.tif,1,Legacy OCR evidence,Weapons_V2_2_2024-11-28_result.tif,"{""legacy_fact_id"": ""fact_001839d45b6c18d12a550aee"", ""normalized_value"": {""numbers"": [5.0, 1.0, 1.0, 1.0, 38.0, 2.0, 217.0, 1132.0, 33.0, 11.0, 96.127159], ""percentages"": []}, ""source_image_hash"": ""5330c89ec1b41aaed6cb29ef87621aa1bfb50122c31cd1cd284e59edc62036ba""}"
fact_003400db6247d40019a8a389,raw_evidence,survivors,,,* Splinter P HP +5% Heal effect +5% ATK +5% Crit Rate +8%,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,direct,,needs_review,False,True,Numeric evidence extracted without assigning an unverified game meaning.,Survivor_Stat_Boosts_2024-12-12_result.png,1,Legacy OCR evidence,Survivor_Stat_Boosts_2024-12-12_result.png,"{""legacy_fact_id"": ""fact_003400db6247d40019a8a389"", ""normalized_value"": {""numbers"": [], ""percentages"": [5.0, 5.0, 5.0, 8.0]}, ""source_image_hash"": ""106ef0f8acb267631466d527615dad9e74103f76edb91d7345b2b8c20321ab7e""}"
fact_00738a92fc061e7227c887ea,raw_evidence,gear,,,Drillmaster Perk: Chance call for HQ support when throwing grenade; Survivor HP +209,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Survivors_2025-01-26.webp,1,Legacy OCR evidence,Survivors_2025-01-26.webp,"{""legacy_fact_id"": ""fact_00738a92fc061e7227c887ea"", ""normalized_value"": {""numbers"": [209.0], ""percentages"": []}, ""source_image_hash"": ""dfbded7bef2a9604869db6d14ca6c0a7d9a222cb907769daceee5b0847e237c9""}"
fact_007a2fd0626bf5d54b05fd3b,raw_evidence,skills,,,"= Twowacicleof piercings, | Undaunted Wilt (Passive) when |. Sihenunacked butcantbe | _av_ 500 aftacks ont spawn 3 et Compario: (Passive) When Master Mentor: Passive)",,,,,,,,,,,,,,,,,placeholder,low,tesseract_tsv,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Survivors_SP_2025-01-26_result.png,1,Legacy OCR evidence,Survivors_SP_2025-01-26_result.png,"{""legacy_fact_id"": ""fact_007a2fd0626bf5d54b05fd3b"", ""normalized_value"": {""numbers"": [500.0, 3.0], ""percentages"": []}, ""source_image_hash"": ""80da5ce6af1646ea7ec4005b15f7a5dd195a97d88200cc96118e3f9fc7b8264e""}"
fact_008da2ce22a44165454177a4,raw_evidence,gear,,,5	1	1	1	28	2	392	848	50	14	93.121407	Spawns,,,,,,,,,,,,,,,,,placeholder,low,tesseract_tsv,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Weapons_V2_2_2024-11-28_result.tif,1,Legacy OCR evidence,Weapons_V2_2_2024-11-28_result.tif,"{""legacy_fact_id"": ""fact_008da2ce22a44165454177a4"", ""normalized_value"": {""numbers"": [5.0, 1.0, 1.0, 1.0, 28.0, 2.0, 392.0, 848.0, 50.0, 14.0, 93.121407], ""percentages"": []}, ""source_image_hash"": ""5330c89ec1b41aaed6cb29ef87621aa1bfb50122c31cd1cd284e59edc62036ba""}"
fact_0099fa3b54f49507778c3419,raw_evidence,skills,,,Fee 1X,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Skills_2024-11-28_result.tif,1,Legacy OCR evidence,Skills_2024-11-28_result.tif,"{""legacy_fact_id"": ""fact_0099fa3b54f49507778c3419"", ""normalized_value"": {""numbers"": [1.0], ""percentages"": []}, ""source_image_hash"": ""611a479491d5d4a9defd2dfc86ea4ceb6267d628e95f09c9b8795dd388c4b42a""}"
fact_00c97202142b99781dcd6af3,raw_evidence,crit_stats,,,at enemies to deal 500%,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Pets_2024-11-28.webp,1,Legacy OCR evidence,Pets_2024-11-28.webp,"{""legacy_fact_id"": ""fact_00c97202142b99781dcd6af3"", ""normalized_value"": {""numbers"": [], ""percentages"": [500.0]}, ""source_image_hash"": ""08704358c5598c0a855e4cd82946f2e4935408acbb8552572e1a5f11a266f6e7""}"
fact_00d91bfad83578b00aacd9d2,raw_evidence,crit_stats,,,Tough Skin Reduces pet's damage taken by 40/. %,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,direct,,needs_review,False,True,Numeric evidence extracted without assigning an unverified game meaning.,Pet_Awakening_Guide_2024-10-25.webp,1,Legacy OCR evidence,Pet_Awakening_Guide_2024-10-25.webp,"{""legacy_fact_id"": ""fact_00d91bfad83578b00aacd9d2"", ""normalized_value"": {""numbers"": [40.0], ""percentages"": []}, ""source_image_hash"": ""d2dac52f492b3fd46d634c93c6575354eb495102c0c35e70bbeed28f26e32ffb""}"
fact_00defd1986fcc81ea07ffdbf,raw_evidence,pets,,,» 4 * wx wx x +30 7 a 60 800 +120 4800 +480 28.8k 40,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Pet_Awakening_Costs_and_Toy_Bonuses_2024-12-04_result.tif,1,Legacy OCR evidence,Pet_Awakening_Costs_and_Toy_Bonuses_2024-12-04_result.tif,"{""legacy_fact_id"": ""fact_00defd1986fcc81ea07ffdbf"", ""normalized_value"": {""numbers"": [4.0, 30.0, 7.0, 60.0, 800.0, 120.0, 4800.0, 480.0, 28.8, 40.0], ""percentages"": []}, ""source_image_hash"": ""899ca10120318ffafc50313063f67bfc740580f53df6adeea2cb37acb11607e6""}"
fact_00e8beddec246733f8f4ccc3,raw_evidence,gear,,,* Regular Challenges can be completed every 3 days] 480-630” 3860-4010 15590-15740,,,,,,,,,,,,,,,,,placeholder,low,cached_legacy_ocr,survival,,needs_review,True,True,Numeric evidence extracted without assigning an unverified game meaning.,Survivor_Pass_2024-12-19_result.tif,1,Legacy OCR evidence,Survivor_Pass_2024-12-19_result.tif,"{""legacy_fact_id"": ""fact_00e8beddec246733f8f4ccc3"", ""normalized_value"": {""numbers"": [3.0, 480.0, -630.0, 3860.0, -4010.0, 15590.0, -15740.0], ""percentages"": []}, ""source_image_hash"": ""7ed0f45a00c154557947cf48105ed4c64f6f3861d73b255cac27ab3b4ee48d2a""}"
