row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_466895a783e0bbc1,item,resources,selectors,selectors_s_choice,S Choice,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_4ca788067f934bb2,item_value,resources,selectors,selectors_s_choice,Approximate gem value: S Choice,,,,,,,,,,gem_equivalent,6000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6c5afd1f054d3e52,item,resources,selectors,selectors_eternal_selector,Eternal Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_f865f736bc273998,item_value,resources,selectors,selectors_eternal_selector,Approximate gem value: Eternal Selector,,,,,,,,,,gem_equivalent,4000,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_847fbd06f728ec5f,item,resources,selectors,selectors_void_selector,Void Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_c4bfec92395876c6,item_value,resources,selectors,selectors_void_selector,Approximate gem value: Void Selector,,,,,,,,,,gem_equivalent,4500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6c271cb507e18f26,item,resources,selectors,selectors_chaos_selector,Chaos Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_f8229581db1b082c,item_value,resources,selectors,selectors_chaos_selector,Approximate gem value: Chaos Selector,,,,,,,,,,gem_equivalent,3500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_4df160ab0ba733db,item,resources,selectors,selectors_random_s,Random S,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_6b93c51621ba9e57,item_value,resources,selectors,selectors_random_s,Approximate gem value: Random S,,,,,,,,,,gem_equivalent,2500,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_258c2e92d114f996,item,resources,selectors,selectors_excellent_selector,Excellent Selector,,,,,,,,,,,,,,,,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,Item identity/category is exact; valuation is stored separately.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
src_d75440ddb31387aa,item_value,resources,selectors,selectors_excellent_selector,Approximate gem value: Excellent Selector,,,,,,,,,,gem_equivalent,200,gems,,,,,opinion,high,visual_table_verified,utility,,needs_review,True,True,Approximate source valuation; never overrides exact costs or effects.,Item_Values_2024-10-02_result.png,1,Item Value Chart,Item_Values_2024-10-02_result.png,{}
