row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_1a45823918de26bd,gear_effect,ss_gear,astral_forge,necklace_clarity,SS Necklace Clarity,,,,,,,,,Clarity,skill_damage,20,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,71,SS Gear Exact Effects,,{}
src_0a27494cc1ac0591,gear_effect,ss_gear,astral_forge,necklace_e1,SS Necklace E1,,,,,,,,,Target has a shield,shield_damage,10,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,71,SS Gear Exact Effects,,{}
src_5c8f6a4edd773fcc,gear_effect,ss_gear,astral_forge,gloves_amplify,SS Gloves Amplify,,,,,,,,,Target is weakened,weakened_damage,25,percent,damage_multiplier,weakened,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,73,SS Gear Exact Effects,,{}
src_3af7473d2b9a4490,gear_effect,ss_gear,astral_forge,gloves_e1,SS Gloves E1 Berserk,,,,,,,,,Berserk active,skill_damage,50,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,73,SS Gear Exact Effects,,{}
src_20b4f1373c88531f,gear_effect,ss_gear,astral_forge,armor_super,SS Armor Super Enhance,,,,,,,,,Energy above 90,skill_damage,30,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,74,SS Gear Exact Effects,,{}
src_5461cbb2a04e9550,gear_effect,ss_gear,astral_forge,belt_e1,SS Belt E1,,,,,,,,,Crit rate above 100%,crit_damage,30,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,77,SS Gear Exact Effects,,{}
src_eda9b95653711f45,gear_effect,ss_gear,astral_forge,belt_e3,SS Belt E3,,,,,,,,,Crit rate above 130%,skill_damage,30,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,77,SS Gear Exact Effects,,{}
src_0cec6acab34a1d06,gear_effect,ss_gear,astral_forge,belt_e5,SS Belt E5,,,,,,,,,Crit rate above 150%,crit_damage,100,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,77,SS Gear Exact Effects,,{}
src_1baca9fcf85cd942,gear_effect,ss_gear,astral_forge,belt_v4,SS Belt V4 charge,,,,,,,,,Charge active,crit_rate,20,percent,crit_rate,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,77,SS Gear Exact Effects,,{}
src_bfe82bf28f8c3f3d,gear_effect,ss_gear,astral_forge,belt_v4,SS Belt V4 stored damage,,,,,,,,,Charge active,stored_damage,30,percent,damage_multiplier,,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,77,SS Gear Exact Effects,,{}
src_f391c7610aeb809f,gear_effect,ss_gear,astral_forge,boots_chilled,SS Boots chilled damage,,,,,,,,,Target is chilled,chilled_damage,15,percent,damage_multiplier,chilled,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,78,SS Gear Exact Effects,,{}
src_73fa22160f14b968,gear_effect,ss_gear,astral_forge,boots_v2,SS Boots V2 chilled damage,,,,,,,,,Target is chilled,chilled_damage,20,percent,damage_multiplier,chilled,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,79,SS Gear Exact Effects,,{}
src_d66fdbc8040daa30,gear_effect,ss_gear,astral_forge,boots_v4,SS Boots V4 vulnerability,,,,,,,,,Target chilled; 10 seconds,vulnerability,10,percent,damage_multiplier,chilled,,,exact,exact,embedded_pdf_table_verified,direct,,profile_dependent,False,False,,source_database_map.pdf,79,SS Gear Exact Effects,,{}
