row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_8acd4514e243b197,survivor_upgrade_cost,survivors,yellow_stars,normal_survivor,NORMAL survivor yellow star 1,,,1,,80,normal_survivor_shard,,,,,,,,,yellow_star_1,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_5194caac00955774,survivor_upgrade_cost,survivors,yellow_stars,normal_survivor,NORMAL survivor yellow star 2,,,2,,10,normal_survivor_shard,,,,,,,,,yellow_star_2,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_8f65916959f9f9e0,survivor_upgrade_cost,survivors,yellow_stars,normal_survivor,NORMAL survivor yellow star 3,,,3,,50,normal_survivor_shard,,,,,,,,,yellow_star_3,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_8fccfe70a27fdcaa,survivor_upgrade_cost,survivors,yellow_stars,normal_survivor,NORMAL survivor yellow star 4,,,4,,100,normal_survivor_shard,,,,,,,,,yellow_star_4,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_e9ae0cf34605b9c5,survivor_upgrade_cost,survivors,yellow_stars,normal_survivor,NORMAL survivor yellow star 5,,,5,,150,normal_survivor_shard,,,,,,,,,yellow_star_5,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_7d4197e74e6849b5,survivor_upgrade_cost,survivors,yellow_stars,normal_survivor,NORMAL survivor yellow star 6,,,6,,300,normal_survivor_shard,,,,,,,,,yellow_star_6,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_4bd4777bcf576170,survivor_upgrade_cost,survivors,yellow_stars,s_survivor,S survivor yellow star 1,,,1,,120,s_survivor_shard,,,,,,,,,yellow_star_1,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_0767c57509eba803,survivor_upgrade_cost,survivors,yellow_stars,s_survivor,S survivor yellow star 2,,,2,,40,s_survivor_shard,,,,,,,,,yellow_star_2,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_d2f34e25119918ef,survivor_upgrade_cost,survivors,yellow_stars,s_survivor,S survivor yellow star 3,,,3,,80,s_survivor_shard,,,,,,,,,yellow_star_3,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
src_8dbe1b86ba04a98b,survivor_upgrade_cost,survivors,yellow_stars,s_survivor,S survivor yellow star 4,,,4,,120,s_survivor_shard,,,,,,,,,yellow_star_4,,exact,exact,visual_table_verified,indirect,,profile_dependent,True,False,,Survivor_Upgrade_Costs_2024-12-19_result.png,1,Survivor Upgrade Costs,Survivor_Upgrade_Costs_2024-12-19_result.png,{}
