row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_adbae4bdfccc4d77,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy yellow,yellow,,,,,,,,,resonance_energy,50,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_dd34a2b910741af2,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy yellow+1,yellow+1,,,,,,,,,resonance_energy,100,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_d2b9d742b4dd454c,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy yellow+2,yellow+2,,,,,,,,,resonance_energy,150,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_141b8d0cfbf0dfb5,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy yellow+3,yellow+3,,,,,,,,,resonance_energy,200,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_1d54884b36062523,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy red,red,,,,,,,,,resonance_energy,300,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_26963ab1b8054954,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy red+1,red+1,,,,,,,,,resonance_energy,400,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_e9e5a5f8af61b45a,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy red+2,red+2,,,,,,,,,resonance_energy,550,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_858e8297388c5b1d,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy red+3,red+3,,,,,,,,,resonance_energy,700,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_7e3ad4144ae67b16,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy red+4,red+4,,,,,,,,,resonance_energy,850,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
src_cb5d27b01325d609,tech_resonance_energy,tech_parts,resonance,resonance_energy,Resonance energy eternal,eternal,,,,,,,,,resonance_energy,1000,points,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,189,Tech Part Resonance Energy,,{}
