row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_3b207c8c588b2cf3,unlock,unlocks,chapter,shop,Shop,,1,,,,,,,chapter 1 losing,unlock,1,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""losing""}"
src_436df57ad9299f89,unlock,unlocks,chapter,talent_tree,Talent Tree,,1,,,,,,,chapter 1 losing,unlock,1,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""losing""}"
src_5172c845b16314bd,unlock,unlocks,chapter,growth_fund,Growth Fund,,2,,,,,,,chapter 2 losing,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""losing""}"
src_65528f9a1d1e1347,unlock,unlocks,chapter,daily_shop,Daily Shop,,2,,,,,,,chapter 2 losing,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""losing""}"
src_ab65e8f99e5c407c,unlock,unlocks,chapter,friends,Friends,,2,,,,,,,chapter 2 losing,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""losing""}"
src_6f0a491c415c40ef,unlock,unlocks,chapter,missions,Missions,,2,,,,,,,chapter 2 winning,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""winning""}"
src_0738b1ff9bb2c8b1,unlock,unlocks,chapter,main_challenges,Main Challenges,,2,,,,,,,chapter 2 winning,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""winning""}"
src_f21b4cc654f8e6a2,unlock,unlocks,chapter,quick_earnings,Quick Earnings,,2,,,,,,,chapter 2 winning,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""winning""}"
src_8b90d5946e2b4cf6,unlock,unlocks,chapter,events,Events,,2,,,,,,,chapter 2 winning,unlock,2,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""winning""}"
src_b0bf42a5f92f9724,unlock,unlocks,chapter,clans,Clans,,3,,,,,,,chapter 3 winning,unlock,3,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""winning""}"
src_f92addf75b0f308e,unlock,unlocks,chapter,durian_skill,Durian skill,,4,,,,,,,chapter 4 winning,unlock,4,chapter,,,,,exact,exact,embedded_pdf_table_verified,survival,,profile_dependent,True,False,,source_database_map.pdf,230,Chapter Unlocks,,"{""completion_condition"": ""winning""}"
